club_handle, url , name ,date,start_time,end_time,location
uw.wealthmanagement,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/517934247_17858723367450013_7560200445708624151_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTQ0MC5zZHIuZjgyNzg3LmRlZmF1bHRfaW1hZ2UuYzIifQ&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QG6WchkTRrddkAjoMy1QXO45DFdv_6GuSfrvvOcnl7kzvLjY-SBc0d6nRHdD1OlP2s&_nc_ohc=9_inNJTU85kQ7kNvwE_LVyC&_nc_gid=aWEgdaW2HJkwGaB08T_GHQ&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzY3MzgyMzE1MDU0NDEwNjUxNg%3D%3D.3-ccb7-5&oh=00_AfTpr4Va_8Yle4MogbMFM0C-gDf4nuFmcgj1UrOULNPH9w&oe=6894CD20&_nc_sid=8f1549,Exclusive Virtual Event,2023-07-17,18:30,19:30,Virtual
uw.wealthmanagement,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/508449129_17855841216450013_8739863976428587940_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTQ0MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UuYzIifQ&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QG6WchkTRrddkAjoMy1QXO45DFdv_6GuSfrvvOcnl7kzvLjY-SBc0d6nRHdD1OlP2s&_nc_ohc=tEwT0K7ffiUQ7kNvwFxTF5v&_nc_gid=aWEgdaW2HJkwGaB08T_GHQ&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzY1NjQ5ODIwMzM4Nzk1MTA3OA%3D%3D.3-ccb7-5&oh=00_AfQOMxTmeNZV6wt-FWW8fvBl7fodEWy6Y_Xld3kNo5A2MQ&oe=6894B8F2&_nc_sid=8f1549,Wealth Management Night,2024-06-19,19:00,21:30,Davis Centre 1302
uw.wealthmanagement,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/517934247_17858723367450013_7560200445708624151_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTQ0MC5zZHIuZjgyNzg3LmRlZmF1bHRfaW1hZ2UuYzIifQ&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QEcFUsycyV7R_sGQUUPCSWlQrthkDNh6kTJEF6_f3ViFpL-9yoHwHyQgRYAzX5ZE9A&_nc_ohc=gSJP7h8F8oEQ7kNvwEDPEhc&_nc_gid=nuGGNsU_OX6xuGim3TwkGQ&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzY3MzgyMzE1MDU0NDEwNjUxNg%3D%3D.3-ccb7-5&oh=00_AfQxKLy-OUAePJmAXkQSLUsfKLXvhEsQwMhuwH9RPrMaPg&oe=68953DA0&_nc_sid=8f1549,Exclusive Virtual Event,2023-07-17,18:30,19:30,Virtual
uw.wealthmanagement,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/508449129_17855841216450013_8739863976428587940_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTQ0MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UuYzIifQ&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QEcFUsycyV7R_sGQUUPCSWlQrthkDNh6kTJEF6_f3ViFpL-9yoHwHyQgRYAzX5ZE9A&_nc_ohc=tEwT0K7ffiUQ7kNvwFxTF5v&_nc_gid=nuGGNsU_OX6xuGim3TwkGQ&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzY1NjQ5ODIwMzM4Nzk1MTA3OA%3D%3D.3-ccb7-5&oh=00_AfSgdFkOXn2h0cYWh7HP2cOWQMq-gHOX4IxhOgItJRZh3Q&oe=689561B2&_nc_sid=8f1549,Wealth Management Night,2024-06-19,19:00,21:30,Davis Centre 1302
