club_name,club_page,insta_url
"Marketing Association, UW",https://clubs.wusa.ca/clubs/259,https://www.instagram.com/uw.marketing
Mock Trial Club,https://clubs.wusa.ca/clubs/524,https://www.instagram.com/uwaterloomocktrial/
"Model United Nations, UW",https://clubs.wusa.ca/clubs/131,https://www.instagram.com/uwmun/
Musical Interdudes - A Cappella Affiliate,https://clubs.wusa.ca/clubs/244,https://www.instagram.com/themusicalinterdudes
Muslim Students Association - Orphan Sponsorship Program,https://clubs.wusa.ca/clubs/419,Not found
Muslim Students' Association (MSA),https://clubs.wusa.ca/clubs/133,https://www.instagram.com/uwmsa/
Nepalese Students Association,https://clubs.wusa.ca/clubs/573,https://www.instagram.com/uwaterloonsa
North African Student Association,https://clubs.wusa.ca/clubs/552,https://www.instagram.com/nasawaterloo
One Step At A Time,https://clubs.wusa.ca/clubs/553,https://www.instagram.com/onestepatatime.uw
Pakistani Students' Association,https://clubs.wusa.ca/clubs/143,https://instagram.com/psa.uw
"Photography Club, UW",https://clubs.wusa.ca/clubs/144,https://www.instagram.com/uwphotographyclub/
Pokemon Club,https://clubs.wusa.ca/clubs/531,https://www.instagram.com/uw_ptcg
Polish Society of UW,https://clubs.wusa.ca/clubs/286,https://www.instagram.com/polishsocietyuw
Power to Change (Campus Crusade for Christ),https://clubs.wusa.ca/clubs/149,https://instagram.com/p2cwaterloo
Product Management Club,https://clubs.wusa.ca/clubs/262,https://www.instagram.com/uwaterloopm/
Riichi Mahjong UW (RMUW),https://clubs.wusa.ca/clubs/541,https://www.instagram.com/uwriichi_mahjong
Romanian Student Association,https://clubs.wusa.ca/clubs/554,https://www.instagram.com/uw.rsa
"Rubik's Cube Club (formerly twisty puzzles), UW",https://clubs.wusa.ca/clubs/162,Not found
SMILE (Students for Mental health and Inner Life Enrichment),https://clubs.wusa.ca/clubs/535,https://www.instagram.com/uwsmileclub
Serbian Student Association,https://clubs.wusa.ca/clubs/237,https://www.instagram.com/uwserbianstudentassociation
Sikh Students Association (SSA),https://clubs.wusa.ca/clubs/167,Not found
"Smash, UW",https://clubs.wusa.ca/clubs/170,Not found
Stocks Club,https://clubs.wusa.ca/clubs/468,https://www.instagram.com/letstockaboutit/
TMA (Thaqalayn Muslim Association),https://clubs.wusa.ca/clubs/313,Not found
Tea and Culture Club,https://clubs.wusa.ca/clubs/188,https://www.instagram.com/uwteaclub/
Teaching Students' Association,https://clubs.wusa.ca/clubs/564,https://www.instagram.com/uw__tsa
Tech+ UW,https://clubs.wusa.ca/clubs/449,https://instagram.com/techplusuw
The AcaBellas - A Cappella Affiliate,https://clubs.wusa.ca/clubs/243,https://www.instagram.com/uwacabellas/
The Circle K International Club of University of Waterloo”,https://clubs.wusa.ca/clubs/388,https://www.instagram.com/uwaterloocki
The Islamic Information Center of the University Waterloo (IICUW),https://clubs.wusa.ca/clubs/295,https://www.instagram.com/iicuwaterloo/
The Unaccompanied Minors - A Cappella Affiliate,https://clubs.wusa.ca/clubs/242,https://www.instagram.com/uw.unaccompaniedminors
Turkish Students Association,https://clubs.wusa.ca/clubs/348,https://www.instagram.com/uwtsa
UW Board Games Club,https://clubs.wusa.ca/clubs/464,https://www.instagram.com/uwboardgames/
UW Book Club,https://clubs.wusa.ca/clubs/374,Not found
UW Builders Club,https://clubs.wusa.ca/clubs/569,https://www.instagram.com/uwbuilders
UW Canadian Association for Global Health (UW CAGH),https://clubs.wusa.ca/clubs/258,https://www.instagram.com/cagh_uw/
